,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,final
IRL,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
IRN,4,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
IRQ,3,1,3,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,1,3,3,1,1,0,0,2,1,1,0,2,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
ISL,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
ISR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
ITA,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
JOR,3,1,3,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,1,3,3,1,1,0,0,2,1,1,0,2,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
JPN,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
KAZ,1,4,0,1,1,3,3,4,3,2,3,4,2,2,4,0,3,2,2,2,1,3,2,1,0,2,3,2,1,1,3,0,2,3,0,2,2,1,4,3,4,3,1,2,2,2,0,1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
KEN,2,0,1,3,2,1,4,3,0,0,2,2,4,4,3,3,4,4,1,4,3,1,4,0,4,4,0,4,4,2,2,2,4,2,4,0,0,4,3,0,3,2,4,3,0,0,4,4,0,3,1,3,3,4,1,3,3,4,2,4
