,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,final
NER,3,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
NGA,1,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
NIC,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
NLD,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
NOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
NPL,1,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,-1,0
NZL,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
OMN,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
PAK,3,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,3,2,2,3,1,3,0,1,1,2,3
PAN,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
PER,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
PHL,2,2,0,0,2,2,3,2,0,0,1,2,3,0,3,3,1,2,0,1,0,2,3,3,1,0,1,3,1,3,3,1,3,1,1,3,1,1,0,3,1,1,2,0,1,1,2,0,3,3,3,3,0,2,0,2,2,2,1,0
POL,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
PRT,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
PRY,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
PSE,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
ROU,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
RUS,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SAU,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SEN,2,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
SGP,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SLE,3,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
SLV,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
SRB,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SVK,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SVN,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SWE,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SWZ,1,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
TCD,3,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
TGO,1,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,0,0,1,3,2,1,0,0,0,3
THA,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,1,1,2,0,1,3,3,3,3,2
TJK,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
TTO,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
TUN,2,1,-1,0,-1,2,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,2,-1,-1,-1,0
TUR,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,1,1,2,0,1,3,3,3,3,2
TWN,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
TZA,1,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
UGA,1,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
UKR,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
URY,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
USA,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
UZB,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,1,3,3,0,2,0,2,2,2,1,0
VEN,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,1,1,2,0,1,3,3,3,3,2
VNM,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,1,1,-1,-1,-1,3,-1,-1,-1,2
XKX,0,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
ZAF,0,0,2,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,1,1,2,0,1,3,3,3,3,2
ZMB,1,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
ZWE,1,2,2,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,0,0,1,3,2,1,0,0,0,3
